feature_code,description,order,notes
S.ITTR,research institute,0,a facility where research is carried out
S.JTY,jetty,0,a structure built out into the water at a river mouth or harbor entrance to regulate currents and silting
S.LDNG,landing,0,"a place where boats receive or discharge passengers and freight, but lacking most port facilities"
S.LEPC,leper colony,0,a settled area inhabited by lepers in relative isolation
S.LIBR,library,0,"A place in which information resources such as books are kept for reading, reference, or lending."
S.LNDF,landfill,0,a place for trash and garbage disposal in which the waste is buried between layers of earth to build up low-lying land
S.LOCK,lock(s),0,a basin in a waterway with gates at each end by means of which vessels are passed from one water level to another
S.LTHSE,lighthouse,0,a distinctive structure exhibiting a major navigation light
S.MALL,mall,0,"A large, often enclosed shopping complex containing various stores, businesses, and restaurants usually accessible by common passageways."
S.MAR,marina,0,"a harbor facility for small boats, yachts, etc."
S.MFG,factory,0,"one or more buildings where goods are manufactured, processed or fabricated"
S.MFGB,brewery,0,one or more buildings where beer is brewed
S.MFGC,cannery,0,a building where food items are canned
S.MFGCU,copper works,0,a facility for processing copper ore
S.MFGLM,limekiln,0,a furnace in which limestone is reduced to lime
S.MFGM,munitions plant,0,a factory where ammunition is made
S.MFGPH,phosphate works,0,a facility for producing fertilizer
S.MFGQ,abandoned factory,0,
S.MFGSG,sugar refinery,0,a facility for converting raw sugar into refined sugar
S.MKT,market,0,a place where goods are bought and sold at regular intervals
S.ML,mill(s),0,"a building housing machines for transforming, shaping, finishing, grinding, or extracting products"
S.MLM,ore treatment plant,0,a facility for improving the metal content of ore by concentration
S.MLO,olive oil mill,0,a mill where oil is extracted from olives
S.MLSG,sugar mill,0,a facility where sugar cane is processed into raw sugar
S.MLSGQ,former sugar mill,0,a sugar mill no longer used as a sugar mill
S.MLSW,sawmill,0,a mill where logs or lumber are sawn to specified shapes and sizes
S.MLWND,windmill,0,a mill or water pump powered by wind
S.MLWTR,water mill,0,a mill powered by running water
S.MN,mine(s),0,a site where mineral ores are extracted from the ground by excavating surface pits and subterranean passages
S.MNAU,gold mine(s),0,"a mine where gold ore, or alluvial gold is extracted"
S.MNC,coal mine(s),0,a mine where coal is extracted
S.MNCR,chrome mine(s),0,a mine where chrome ore is extracted
S.MNCU,copper mine(s),0,a mine where copper ore is extracted
S.MNFE,iron mine(s),0,a mine where iron ore is extracted
S.MNMT,monument,0,a commemorative structure or statue
S.MNN,salt mine(s),0,a mine from which salt is extracted
S.MNQ,abandoned mine,0,
S.MNQR,quarry(-ies),0,"a surface mine where building stone or gravel and sand, etc. are extracted"
S.MOLE,mole,0,a massive structure of masonry or large stones serving as a pier or breakwater
S.MSQE,mosque,0,a building for public Islamic worship
S.MSSN,mission,0,"a place characterized by dwellings, school, church, hospital and other facilities operated by a religious group for the purpose of providing charitable services and to propagate religion"
S.MSSNQ,abandoned mission,0,
S.MSTY,monastery,0,a building and grounds where a community of monks lives in seclusion
S.MTRO,metro station,0,"metro station (Underground, Tube, or Metro)"
S.MUS,museum,0,a building where objects of permanent interest in one or more of the arts and sciences are preserved and exhibited
S.NOV,novitiate,0,a religious house or school where novices are trained
S.NSY,nursery(-ies),0,a place where plants are propagated for transplanting or grafting
S.OBPT,observation point,0,a wildlife or scenic observation point
S.OBS,observatory,0,a facility equipped for observation of atmospheric or space phenomena
S.OBSR,radio observatory,0,a facility equipped with an array of antennae for receiving radio waves from space
S.OILJ,oil pipeline junction,0,a section of an oil pipeline where two or more pipes join together
S.OILQ,abandoned oil well,0,
S.OILR,oil refinery,0,a facility for converting crude oil into refined petroleum products
S.OILT,tank farm,0,"a tract of land occupied by large, cylindrical, metal tanks in which oil or liquid petrochemicals are stored"
S.OILW,oil well,0,a well from which oil may be pumped
S.OPRA,opera house,0,A theater designed chiefly for the performance of operas.
S.PAL,palace,0,"a large stately house, often a royal or presidential residence"
S.PGDA,pagoda,0,"a tower-like storied structure, usually a Buddhist shrine"
S.PIER,pier,0,a structure built out into navigable water on piles providing berthing for ships and recreation
S.PKLT,parking lot,0,an area used for parking vehicles
S.PMPO,oil pumping station,0,a facility for pumping oil through a pipeline
S.PMPW,water pumping station,0,a facility for pumping water from a major well or through a pipeline
S.PO,post office,0,"a public building in which mail is received, sorted and distributed"
S.PP,police post,0,a building in which police are stationed
S.PPQ,abandoned police post,0,
S.PRKGT,park gate,0,a controlled access to a park
S.PRKHQ,park headquarters,0,a park administrative facility
S.PRN,prison,0,a facility for confining prisoners
S.PRNJ,reformatory,0,"a facility for confining, training, and reforming young law offenders"
S.PRNQ,abandoned prison,0,
S.PS,power station,0,a facility for generating electric power
S.PSH,hydroelectric power station,0,a building where electricity is generated from water power
S.PSN,nuclear power station,0,nuclear power station
S.PSTB,border post,0,a post or station at an international boundary for the regulation of movement of people and goods
S.PSTC,customs post,0,a building at an international boundary where customs and duties are paid on goods
S.PSTP,patrol post,0,a post from which patrols are sent out
S.PYR,pyramid,0,an ancient massive structure of square ground plan with four triangular faces meeting at a point and used for enclosing tombs
S.PYRS,pyramids,0,ancient massive structures of square ground plan with four triangular faces meeting at a point and used for enclosing tombs
S.QUAY,quay,0,a structure of solid construction along a shore or bank which provides berthing for ships and which generally provides cargo handling facilities
S.RDCR,traffic circle,0,a road junction formed around a central circle about which traffic moves in one direction only
S.RDIN,intersection,0,a junction of two or more highways by a system of separate levels that permit traffic to pass from one to another without the crossing of traffic streams
S.RECG,golf course,0,a recreation field where golf is played
S.RECR,racetrack,0,a track where races are held
S.REST,restaurant,0,A place where meals are served to the public
S.RET,store,0,a building where goods and/or services are offered for sale
S.RHSE,resthouse,0,a structure maintained for the rest and shelter of travelers
S.RKRY,rookery,0,a breeding place of a colony of birds or seals
S.RLG,religious site,0,an ancient site of significant religious importance
S.RLGR,retreat,0,"a place of temporary seclusion, especially for religious groups"
S.RNCH,ranch(es),0,a large farm specializing in extensive grazing of livestock
S.RSD,railroad siding,0,a short track parallel to and joining the main track
S.RSGNL,railroad signal,0,a signal at the entrance of a particular section of track governing the movement of trains
S.RSRT,resort,0,"a specialized facility for vacation, health, or participation sports activities"
S.RSTN,railroad station,0,"a facility comprising ticket office, platforms, etc. for loading and unloading train passengers and freight"
S.RSTNQ,abandoned railroad station,0,
S.RSTP,railroad stop,0,a place lacking station facilities where trains stop to pick up and unload passengers and freight
S.RSTPQ,abandoned railroad stop,0,
S.RUIN,ruin(s),0,a destroyed or decayed structure which is no longer functional
S.SCH,school,0,building(s) where instruction in one or more branches of knowledge takes place
S.SCHA,agricultural school,0,a school with a curriculum focused on agriculture
S.SCHC,college,0,the grounds and buildings of an institution of higher learning
S.SCHL,language school,0,Language Schools & Institutions
S.SCHM,military school,0,a school at which military science forms the core of the curriculum
S.SCHN,maritime school,0,a school at which maritime sciences form the core of the curriculum
S.SCHT,technical school,0,post-secondary school with a specifically technical or vocational curriculum
S.SECP,State Exam Prep Centre,0,state exam preparation centres
S.SHPF,sheepfold,0,a fence or wall enclosure for sheep and other small herd animals
S.SHRN,shrine,0,a structure or place memorializing a person or religious concept
S.SHSE,storehouse,0,"a building for storing goods, especially provisions"
S.SLCE,sluice,0,"a conduit or passage for carrying off surplus water from a waterbody, usually regulated by means of a sluice gate"
S.SNTR,sanatorium,0,a facility where victims of physical or mental disorders are treated
S.SPA,spa,0,a resort area usually developed around a medicinal spring
S.SPLY,spillway,0,"a passage or outlet through which surplus water flows over, around or through a dam"
S.SQR,square,0,"a broad, open, public area near the center of a town or city"
S.STBL,stable,0,"a building for the shelter and feeding of farm animals, especially horses"
S.STDM,stadium,0,a structure with an enclosure for athletic games with tiers of seats for spectators
S.STNB,scientific research base,0,a scientific facility used as a base from which research is carried out or monitored
S.STNC,coast guard station,0,a facility from which the coast is guarded by armed vessels
S.STNE,experiment station,0,a facility for carrying out experiments
S.STNF,forest station,0,a collection of buildings and facilities for carrying out forest management
S.STNI,inspection station,0,"a station at which vehicles, goods, and people are inspected"
S.STNM,meteorological station,0,a station at which weather elements are recorded
S.STNR,radio station,0,a facility for producing and transmitting information by radio waves
S.STNS,satellite station,0,a facility for tracking and communicating with orbiting satellites
S.STNW,whaling station,0,a facility for butchering whales and processing train oil
S.STPS,steps,0,stones or slabs placed for ease in ascending or descending a steep slope
S.SWT,sewage treatment plant,0,facility for the processing of sewage and/or wastewater
S.SYG,synagogue,0,a place for Jewish worship and religious instruction
S.THTR,theater,0,"a building or outdoor area used for live theatrical presentations, concerts, opera or dance productions, cinema, and/or other stage productions"
S.TMB,tomb(s),0,a structure for interring bodies
S.TMPL,temple(s),0,an edifice dedicated to religious worship
S.TNKD,cattle dipping tank,0,a small artificial pond used for immersing cattle in chemically treated water for disease control
S.TOLL,toll gate/barrier,0,highway toll collection station
S.TOWR,tower,0,"a high conspicuous structure, typically much higher than its diameter"
S.TRAM,tram,0,rail vehicle along urban streets (also known as streetcar or trolley)
S.TRANT,transit terminal,0,facilities for the handling of vehicular freight and passengers
S.TRIG,triangulation station,0,a point on the earth whose position has been determined by triangulation
S.TRMO,oil pipeline terminal,0,a tank farm or loading facility at the end of an oil pipeline
S.TWO,temp work office,0,Temporary Work Offices
S.UNIP,university prep school,0,University Preparation Schools & Institutions
S.UNIV,university,0,An institution for higher learning with teaching and research facilities constituting a graduate school and professional schools that award master's degrees and doctorates and an undergraduate division that awards bachelor's degrees.
S.USGE,united states government establishment,0,a facility operated by the United States Government in Panama
S.VETF,veterinary facility,0,a building or camp at which veterinary services are available
S.WALL,wall,0,"a thick masonry structure, usually enclosing a field or building, or forming the side of a structure"
S.WALLA,ancient wall,0,the remains of a linear defensive stone structure
S.WEIR,weir(s),0,"a small dam in a stream, designed to raise the water level or to divert stream flow through a desired channel"
S.WHRF,wharf(-ves),0,a structure of open rather than solid construction along a shore or a bank which provides berthing for ships and cargo-handling facilities
S.WRCK,wreck,0,the site of the remains of a wrecked vessel
S.WTRW,waterworks,0,a facility for supplying potable water through a water source and a system of pumps and filtration beds
S.ZNF,free trade zone,0,"an area, usually a section of a port, where goods may be received and shipped free of customs duty and of most customs regulations"
S.ZOO,zoo,0,a zoological garden or park where wild animals are kept for exhibition
T.ASPH,asphalt lake,0,a small basin containing naturally occurring asphalt
T.ATOL,atoll(s),0,a ring-shaped coral reef which has closely spaced islands on it encircling a lagoon
T.BAR,bar,0,"a shallow ridge or mound of coarse unconsolidated material in a stream channel, at the mouth of a stream, estuary, or lagoon and in the wave-break zone along coasts"
T.BCH,beach,0,a shore zone of coarse unconsolidated sediment that extends from the low-water line to the highest reach of storm waves
T.BCHS,beaches,0,a shore zone of coarse unconsolidated sediment that extends from the low-water line to the highest reach of storm waves
T.BDLD,badlands,0,"an area characterized by a maze of very closely spaced, deep, narrow, steep-sided ravines, and sharp crests and pinnacles"
T.BLDR,boulder field,0,"a high altitude or high latitude bare, flat area covered with large angular rocks"
T.BLHL,blowhole(s),0,a hole in coastal rock through which sea water is forced by a rising tide or waves and spurted through an outlet into the air
T.BLOW,blowout(s),0,"a small depression in sandy terrain, caused by wind erosion"
T.BNCH,bench,0,"a long, narrow bedrock platform bounded by steeper slopes above and below, usually overlooking a waterbody"
T.BUTE,butte(s),0,"a small, isolated, usually flat-topped hill with steep sides"
T.CAPE,cape,0,"a land area, more prominent than a point, projecting into the sea and marking a notable change in coastal direction"
T.CFT,cleft(s),0,"a deep narrow slot, notch, or groove in a coastal cliff"
T.CLDA,caldera,0,a depression measuring kilometers across formed by the collapse of a volcanic mountain
T.CLF,cliff(s),0,"a high, steep to perpendicular slope overlooking a waterbody or lower area"
T.CNYN,canyon,0,"a deep, narrow valley with steep sides cutting into a plateau or mountainous area"
T.CONE,cone(s),0,a conical landform composed of mud or volcanic material
T.CRDR,corridor,0,a strip or area of land having significance as an access way
T.CRQ,cirque,0,a bowl-like hollow partially surrounded by cliffs or steep slopes at the head of a glaciated valley
T.CRQS,cirques,0,bowl-like hollows partially surrounded by cliffs or steep slopes at the head of a glaciated valley
T.CRTR,crater(s),0,a generally circular saucer or bowl-shaped depression caused by volcanic or meteorite explosive action
T.CUET,cuesta(s),0,an asymmetric ridge formed on tilted strata
T.DLTA,delta,0,a flat plain formed by alluvial deposits at the mouth of a stream
T.DPR,depression(s),0,a low area surrounded by higher land and usually characterized by interior drainage
T.DSRT,desert,0,a large area with little or no vegetation due to extreme environmental conditions
T.DUNE,dune(s),0,"a wave form, ridge or star shape feature composed of sand"
T.DVD,divide,0,a line separating adjacent drainage basins
T.ERG,sandy desert,0,an extensive tract of shifting sand and sand dunes
T.FAN,fan(s),0,a fan-shaped wedge of coarse alluvium with apex merging with a mountain stream bed and the fan spreading out at a low angle slope onto an adjacent plain
T.FORD,ford,0,a shallow part of a stream which can be crossed on foot or by land vehicle
T.FSR,fissure,0,a crack associated with volcanism
T.GAP,gap,0,"a low place in a ridge, not used for transportation"
T.GRGE,gorge(s),0,"a short, narrow, steep-sided section of a stream valley"
T.HDLD,headland,0,a high projection of land extending into a large body of water beyond the line of the coast
T.HLL,hill,0,a rounded elevation of limited extent rising above the surrounding land with local relief of less than 300m
T.HLLS,hills,0,rounded elevations of limited extent rising above the surrounding land with local relief of less than 300m
T.HMCK,hammock(s),0,"a patch of ground, distinct from and slightly above the surrounding plain or wetland. Often occurs in groups"
T.HMDA,rock desert,0,"a relatively sand-free, high bedrock plateau in a hot desert, with or without a gravel veneer"
T.INTF,interfluve,0,a relatively undissected upland between adjacent stream valleys
T.ISL,island,0,"a tract of land, smaller than a continent, surrounded by water at high water"
T.ISLET,islet,0,"small island, bigger than rock, smaller than island."
T.ISLF,artificial island,0,"an island created by landfill or diking and filling in a wetland, bay, or lagoon"
T.ISLM,mangrove island,0,a mangrove swamp surrounded by a waterbody
T.ISLS,islands,0,"tracts of land, smaller than a continent, surrounded by water at high water"
T.ISLT,land-tied island,0,"a coastal island connected to the mainland by barrier beaches, levees or dikes"
T.ISLX,section of island,0,
T.ISTH,isthmus,0,a narrow strip of land connecting two larger land masses and bordered by water
T.KRST,karst area,0,"a distinctive landscape developed on soluble rock such as limestone characterized by sinkholes, caves, disappearing streams, and underground drainage"
T.LAVA,lava area,0,an area of solidified lava
T.LEV,levee,0,a natural low embankment bordering a distributary or meandering stream; often built up artificially to control floods
T.MESA,mesa(s),0,"a flat-topped, isolated elevation with steep slopes on all sides, less extensive than a plateau"
T.MND,mound(s),0,"a low, isolated, rounded hill"
T.MRN,moraine,0,"a mound, ridge, or other accumulation of glacial till"
T.MT,mountain,0,"an elevation standing high above the surrounding area with small summit area, steep slopes and local relief of 300m or more"
T.MTS,mountains,0,a mountain range or a group of mountains or high ridges
T.NKM,meander neck,0,a narrow strip of land between the two limbs of a meander loop at its narrowest point
T.NTK,nunatak,0,a rock or mountain peak protruding through glacial ice
T.NTKS,nunataks,0,rocks or mountain peaks protruding through glacial ice
T.PAN,pan,0,"a near-level shallow, natural depression or basin, usually containing an intermittent lake, pond, or pool"
T.PANS,pans,0,"a near-level shallow, natural depression or basin, usually containing an intermittent lake, pond, or pool"
T.PASS,pass,0,"a break in a mountain range or other high obstruction, used for transportation from one side to the other [See also gap]"
T.PEN,peninsula,0,an elongate area of land projecting into a body of water and nearly surrounded by water
T.PENX,section of peninsula,0,
T.PK,peak,0,"a pointed elevation atop a mountain, ridge, or other hypsographic feature"
T.PKS,peaks,0,"pointed elevations atop a mountain, ridge, or other hypsographic features"
T.PLAT,plateau,0,"an elevated plain with steep slopes on one or more sides, and often with incised streams"
T.PLATX,section of plateau,0,
T.PLDR,polder,0,an area reclaimed from the sea by diking and draining
T.PLN,plain(s),0,"an extensive area of comparatively level to gently undulating land, lacking surface irregularities, and usually adjacent to a higher area"
T.PLNX,section of plain,0,
T.PROM,promontory(-ies),0,a bluff or prominent hill overlooking or projecting into a lowland
T.PT,point,0,"a tapering piece of land projecting into a body of water, less prominent than a cape"
T.PTS,points,0,"tapering pieces of land projecting into a body of water, less prominent than a cape"
T.RDGB,beach ridge,0,"a ridge of sand just inland and parallel to the beach, usually in series"
T.RDGE,ridge(s),0,"a long narrow elevation with steep sides, and a more or less continuous crest"
T.REG,stony desert,0,a desert plain characterized by a surface veneer of gravel and stones
T.RK,rock,0,"a conspicuous, isolated rocky mass"
T.RKFL,rockfall,0,an irregular mass of fallen rock at the base of a cliff or steep slope
T.RKS,rocks,0,"conspicuous, isolated rocky masses"
T.SAND,sand area,0,a tract of land covered with sand
T.SBED,dry stream bed,0,a channel formerly containing the water of a stream
T.SCRP,escarpment,0,a long line of cliffs or steep slopes separating level surfaces above and below
T.SDL,saddle,0,"a broad, open pass crossing a ridge or between hills or mountains"
T.SHOR,shore,0,"a narrow zone bordering a waterbody which covers and uncovers at high and low water, respectively"
T.SINK,sinkhole,0,a small crater-shape depression in a karst area
T.SLID,slide,0,"a mound of earth material, at the base of a slope and the associated scoured area"
T.SLP,slope(s),0,a surface with a relatively uniform slope angle
T.SPIT,spit,0,"a narrow, straight or curved continuation of a beach into a waterbody"
T.SPUR,spur(s),0,"a subordinate ridge projecting outward from a hill, mountain or other elevation"
T.TAL,talus slope,0,a steep concave slope formed by an accumulation of loose rock fragments at the base of a cliff or steep slope
T.TRGD,interdune trough(s),0,a long wind-swept trough between parallel longitudinal dunes
T.TRR,terrace,0,"a long, narrow alluvial platform bounded by steeper slopes above and below, usually overlooking a waterbody"
T.UPLD,upland,0,an extensive interior region of high land with low to moderate surface relief
T.VAL,valley,0,an elongated depression usually traversed by a stream
T.VALG,hanging valley,0,a valley the floor of which is notably higher than the valley or shore to which it leads; most common in areas that have been glaciated
T.VALS,valleys,0,elongated depressions usually traversed by a stream
T.VALX,section of valley,0,
T.VLC,volcano,0,a conical elevation composed of volcanic materials with a crater at the top
U.APNU,apron,0,"a gentle slope, with a generally smooth surface, particularly found around groups of islands and seamounts"
U.ARCU,arch,0,a low bulge around the southeastern end of the island of Hawaii
U.ARRU,arrugado,0,an area of subdued corrugations off Baja California
U.BDLU,borderland,0,"a region adjacent to a continent, normally occupied by or bordering a shelf, that is highly irregular with depths well in excess of those typical of a shelf"
U.BKSU,banks,0,"elevations, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for safe surface navigation"
U.BNKU,bank,0,"an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for safe surface navigation"
U.BSNU,basin,0,a depression more or less equidimensional in plan and of variable extent
U.CDAU,cordillera,0,"an entire mountain system including the subordinate ranges, interior plateaus, and basins"
U.CNSU,canyons,0,"relatively narrow, deep depressions with steep sides, the bottom of which generally has a continuous slope"
U.CNYU,canyon,0,"a relatively narrow, deep depression with steep sides, the bottom of which generally has a continuous slope"
U.CRSU,continental rise,0,a gentle slope rising from oceanic depths towards the foot of a continental slope
U.DEPU,deep,0,"a localized deep area within the confines of a larger feature, such as a trough, basin or trench"
U.EDGU,shelf edge,0,a line along which there is a marked increase of slope at the outer margin of a continental shelf or island shelf
U.ESCU,escarpment (or scarp),0,an elongated and comparatively steep slope separating flat or gently sloping areas
U.FANU,fan,0,a relatively smooth feature normally sloping away from the lower termination of a canyon or canyon system
U.FLTU,flat,0,a small level or nearly level area
U.FRZU,fracture zone,0,"an extensive linear zone of irregular topography of the sea floor, characterized by steep-sided or asymmetrical ridges, troughs, or escarpments"
U.FURU,furrow,0,"a closed, linear, narrow, shallow depression"
U.GAPU,gap,0,a narrow break in a ridge or rise
U.GLYU,gully,0,a small valley-like feature
U.HLLU,hill,0,an elevation rising generally less than 500 meters
U.HLSU,hills,0,elevations rising generally less than 500 meters
U.HOLU,hole,0,a small depression of the sea floor
U.KNLU,knoll,0,"an elevation rising generally more than 500 meters and less than 1,000 meters and of limited extent across the summit"
U.KNSU,knolls,0,"elevations rising generally more than 500 meters and less than 1,000 meters and of limited extent across the summits"
U.LDGU,ledge,0,"a rocky projection or outcrop, commonly linear and near shore"
U.LEVU,levee,0,"an embankment bordering a canyon, valley, or seachannel"
U.MESU,mesa,0,"an isolated, extensive, flat-topped elevation on the shelf, with relatively steep sides"
U.MNDU,mound,0,"a low, isolated, rounded hill"
U.MOTU,moat,0,"an annular depression that may not be continuous, located at the base of many seamounts, islands, and other isolated elevations"
U.MTU,mountain,0,a well-delineated subdivision of a large and complex positive feature
U.PKSU,peaks,0,"prominent elevations, part of a larger feature, either pointed or of very limited extent across the summit"
U.PKU,peak,0,"a prominent elevation, part of a larger feature, either pointed or of very limited extent across the summit"
U.PLNU,plain,0,"a flat, gently sloping or nearly level region"
U.PLTU,plateau,0,"a comparatively flat-topped feature of considerable extent, dropping off abruptly on one or more sides"
U.PNLU,pinnacle,0,"a high tower or spire-shaped pillar of rock or coral, alone or cresting a summit"
U.PRVU,province,0,a region identifiable by a group of similar physiographic features whose characteristics are markedly in contrast with surrounding areas
U.RDGU,ridge,0,a long narrow elevation with steep sides
U.RDSU,ridges,0,long narrow elevations with steep sides
U.RFSU,reefs,0,surface-navigation hazards composed of consolidated material
U.RFU,reef,0,a surface-navigation hazard composed of consolidated material
U.RISU,rise,0,"a broad elevation that rises gently, and generally smoothly, from the sea floor"
U.SCNU,seachannel,0,"a continuously sloping, elongated depression commonly found in fans or plains and customarily bordered by levees on one or two sides"
U.SCSU,seachannels,0,"continuously sloping, elongated depressions commonly found in fans or plains and customarily bordered by levees on one or two sides"
U.SDLU,saddle,0,"a low part, resembling in shape a saddle, in a ridge or between contiguous seamounts"
U.SHFU,shelf,0,a zone adjacent to a continent (or around an island) that extends from the low water line to a depth at which there is usually a marked increase of slope towards oceanic depths
U.SHLU,shoal,0,a surface-navigation hazard composed of unconsolidated material
U.SHSU,shoals,0,hazards to surface navigation composed of unconsolidated material
U.SHVU,shelf valley,0,"a valley on the shelf, generally the shoreward extension of a canyon"
U.SILU,sill,0,the low part of a gap or saddle separating basins
U.SLPU,slope,0,the slope seaward from the shelf edge to the beginning of a continental rise or the point where there is a general reduction in slope
U.SMSU,seamounts,0,"elevations rising generally more than 1,000 meters and of limited extent across the summit"
U.SMU,seamount,0,"an elevation rising generally more than 1,000 meters and of limited extent across the summit"
U.SPRU,spur,0,"a subordinate elevation, ridge, or rise projecting outward from a larger feature"
U.TERU,terrace,0,"a relatively flat horizontal or gently inclined surface, sometimes long and narrow, which is bounded by a steeper ascending slope on one side and by a steep descending slope on the opposite side"
U.TMSU,tablemounts (or guyots),0,"seamounts having a comparatively smooth, flat top"
U.TMTU,tablemount (or guyot),0,"a seamount having a comparatively smooth, flat top"
U.TNGU,tongue,0,an elongate (tongue-like) extension of a flat sea floor into an adjacent higher feature
U.TRGU,trough,0,"a long depression of the sea floor characteristically flat bottomed and steep sided, and normally shallower than a trench"
U.TRNU,trench,0,"a long, narrow, characteristically very deep and asymmetrical depression of the sea floor, with relatively steep sides"
U.VALU,valley,0,"a relatively shallow, wide depression, the bottom of which usually has a continuous gradient"
U.VLSU,valleys,0,"a relatively shallow, wide depression, the bottom of which usually has a continuous gradient"
V.BUSH,bush(es),0,a small clump of conspicuous bushes in an otherwise bare area
V.CULT,cultivated area,0,an area under cultivation
V.FRST,forest(s),0,an area dominated by tree vegetation
V.FRSTF,fossilized forest,0,a forest fossilized by geologic processes and now exposed at the earth's surface
V.GROVE,grove,0,"a small wooded area or collection of trees growing closely together, occurring naturally or deliberately planted"
V.GRSLD,grassland,0,an area dominated by grass vegetation
V.GRVC,coconut grove,0,a planting of coconut trees
V.GRVO,olive grove,0,a planting of olive trees
V.GRVP,palm grove,0,a planting of palm trees
V.GRVPN,pine grove,0,a planting of pine trees
V.HTH,heath,0,an upland moor or sandy area dominated by low shrubby vegetation including heather
V.MDW,meadow,0,"a small, poorly drained area dominated by grassy vegetation"
V.OCH,orchard(s),0,a planting of fruit or nut trees
V.SCRB,scrubland,0,"an area of low trees, bushes, and shrubs stunted by some environmental limitation"
V.TREE,tree(s),0,a conspicuous tree used as a landmark
V.TUND,tundra,0,"a marshy, treeless, high latitude plain, dominated by mosses, lichens, and low shrub vegetation under permafrost conditions"
V.VIN,vineyard,0,a planting of grapevines
V.VINS,vineyards,0,plantings of grapevines
